Zipcode,Monday-Sunday,Monday-Sunday.1,Monday-Friday,Saturday,Sunday,Monday-Sunday.2,Monday-Sunday.3
''," 8am-12pm, 9am-1pm, 10am-2pm, 11am-3pm, 12pm-4pm","1pm-5pm, 2pm-6pm"," 8am-12pm, 9am-1pm, 10am-2pm, 11am-3pm, 12pm-4pm"," 9am-11am, 10am-12pm, 11am-1pm, 12pm-2pm, 1pm-3pm, 2pm-4pm","10am-12pm, 11am-1pm, 12pm-2pm, 1pm-3pm, 2pm-4pm"," 8am-12pm, 9am-1pm, 10am-2pm, 11am-3pm","12pm-4pm, 1pm-5pm"
'',Lighting Direct Price,Lighting Direct Price,Sugar Bliss Price using USM,Sugar Bliss Price using USM,Sugar Bliss Price using USM,Sugar Bliss Price using LS,Sugar Bliss Price using LS
60516,68,34,68.71000000000001,100.565,132.42000000000002,73,39
60517,,,71.12,104.18,137.24,5,5
60521,68,34,57.54,83.81,110.08,73,39
60522,68,34,56.96,82.94,108.92,73,39
60523,76,38,54.95,79.925,104.9,81,43
60525,68,34,49.1,71.15,93.2,73,39
60526,60,30,47.56,68.84,90.12,65,35
60527,76,38,58.2,84.8,111.4,81,43
60534,52,26,44.08,63.62,83.16,57,31
60546,60,30,41.43,59.645,77.86,65,35
60558,60,30,51.88,75.32,98.76,65,35
60559,76,38,62.29,90.935,119.58,81,43
60561,,,64.52000000000001,94.28,124.04,5,5
60620,60,30,41.98,60.47,78.96,65,35
60628,,,45.09,65.13499999999999,85.18,5,5
60629,60,30,37.04,53.06,69.08,65,35
60634,52,26,37.39,53.585,69.78,57,31
60638,60,30,39.88,57.32,74.76,65,35
60643,60,30,49.37,71.555,93.74,65,35
60645,52,26,36.32,51.98,67.64,57,31
60646,52,26,39.2,56.3,73.4,57,31
60655,60,30,52.95,76.925,100.9,65,35
60682,52,26,36.3,51.95,67.6,57,31
60706,52,26,43.69,63.035,82.38,57,31
60707,52,26,41.49,59.735,77.98,57,31
60712,52,26,41.75,60.125,78.5,57,31
60714,52,26,45.42,65.63,85.84,57,31
60803,60,30,57.17,83.255,109.34,65,35
60804,52,26,34.86,49.79,64.72,57,31
60805,52,26,49.27,71.405,93.54,57,31
60827,60,30,58.14,84.71,111.28,65,35
