Zipcode,Mon-Sat,Mon-Sat,Mon-Fri,Sat,Sat,Sun
"abc","8am-12pm,9am-1pm,10am-2pm,11am-3pm","12pm-4pm,1pm-5pm","8am-12pm,9am-1pm,10am-2pm,11am-3pm,12pm-4pm","9am-11am,10am-12pm,11am-1pm,12pm-2pm,1pm-3pm,2pm-4pm","9am-1pm,10am-2pm,11am-3pm,12pm-4pm","10am-2pm,11am-3pm,12pm-4pm"
"def",Sugar Bliss Price using LS,Sugar Bliss Price using LS,Sugar Bliss Price using USM,Sugar Bliss Price using USM,US Messenger,US Messenger
"60459",77,42,53,75,37.28,37.28
"60459",67,37,7,7,,0
"60462",7,7,77,111,61.98,61.98
"60463",77,42,66,95,59.78,59.78
"60464",7,7,67,97,54.08,54.08
"60465",77,42,61,87,52.61,52.61
"60469",7,7,61,88,48.81,48.81
"60472",77,42,62,90,52.7,52.7
"60473",7,7,65,94,52.33,52.33
"60476",7,7,70,101,56.36,56.36
"60478",7,7,73,106,59.15,59.15
"60480",7,7,59,84,46.69,46.69
"60482",77,42,64,92,47.3,47.3
"60482",67,37,7,7,,0
"60499",77,42,50,72,37.3,37.3
"60499",67,37,7,7,,0
"60501",77,42,49,70,37.18,37.18
"60501",59,33,7,7,,0
"60501",67,37,7,7,,0
"60513",77,42,51,73,39.6,39.6
"60513",59,33,7,7,,0
"60514",77,42,60,87,52.86,52.86
"60514",75,41,7,7,,0
"60515",87,47,62,89,52.1,52.1
"60516",87,47,70,101,57.03,57.03
"60517",7,7,73,106,59.08,59.08
"60521",77,42,60,86,47.51,47.51
"60522",77,42,57,82,47.02,47.02
"60523",75,41,7,7,,0
"60523",87,47,57,82,45.31,45.31
"60525",67,37,7,7,,0
"60525",75,41,7,7,,0
"60525",77,42,50,71,40.33,40.33
"60525",67,37,7,7,,0
"60525",59,33,7,7,,0
"60526",77,42,50,71,39.02,39.02
"60527",87,47,58,84,48.07,48.07
"60527",75,41,7,7,,0
"60534",67,37,47,67,36.06,36.06
"60534",59,33,7,7,,0
"60546",59,33,7,7,,0
"60546",59,33,7,7,,0
"60546",67,37,46,65,33.8,33.8
"60546",59,33,7,7,,0
"60558",77,42,53,76,42.7,42.7
"60559",87,47,62,89,51.56,51.56
"60561",7,7,67,96,53.45,53.45
"60620",67,37,45,65,34.27,34.27
"60628",7,7,47,67,36.92,36.92
"60629",77,42,44,62,30.07,30.07
"60634",67,37,43,61,30.36,30.36
"60638",77,42,44,62,32.48,32.48
"60638",59,33,7,7,,0
"60643",67,37,52,75,40.56,40.56
"60645",67,37,44,62,29.45,29.45
"60646",67,37,43,61,31.91,31.91
"60655",67,37,54,78,43.61,43.61
"60682",67,37,42,60,29.44,29.44
"60706",67,37,46,65,35.72,35.72
"60706",59,33,7,7,,0
"60707",59,33,7,7,,0
"60707",67,37,46,65,33.85,33.85
"60712",67,37,46,65,34.08,34.08
"60714",67,37,53,76,37.2,37.2
"60803",77,42,57,82,47.2,47.2
"60803",67,37,7,7,,0
"60804",67,37,40,56,28.21,28.21
"60805",67,37,51,73,40.47,40.47
"60827",77,42,58,83,48.02,48.02
